Breed,Weight_kg,Age_years,Purpose,Weather,Dry_Fodder_kg,Concentrate_kg,Green_Fodder_kg
Sahiwal,455,5,Meat,Moderate,5.91,1.93,9.9
Sahiwal,510,6,Milk,Moderate,5.36,2.46,11.52
Jersey,277,4,Milk,Hot,2.62,1.24,5.88
Holstein,602,2,Meat,Cold,7.22,2.53,13.0
Sahiwal,529,8,Meat,Hot,6.49,2.28,11.36
Jersey,495,2,Meat,Moderate,5.99,2.81,9.44
Red Sindhi,629,7,Meat,Cold,7.39,3.56,11.85
Gir,470,3,Meat,Hot,5.55,2.32,10.11
Gir,558,2,Meat,Hot,7.04,3.32,11.6
Gir,551,2,Milk,Hot,5.77,1.83,11.14
Holstein,446,5,Meat,Cold,4.99,2.15,8.15
Gir,549,8,Meat,Cold,6.57,2.69,10.79
Holstein,362,8,Meat,Moderate,3.99,1.7,7.64
Sahiwal,478,10,Milk,Moderate,4.77,1.99,10.36
Gir,498,4,Meat,Moderate,6.12,2.33,9.7
Jersey,635,3,Milk,Moderate,5.97,1.92,15.27
Jersey,638,2,Milk,Hot,5.91,2.96,15.47
Sahiwal,430,4,Milk,Moderate,4.6,1.47,10.63
Sahiwal,555,9,Milk,Cold,5.8,2.24,12.07
Gir,313,9,Milk,Hot,2.86,1.02,6.4
Sahiwal,439,4,Milk,Cold,4.09,2.56,9.92
Holstein,436,6,Milk,Moderate,4.65,1.33,9.13
Sahiwal,467,2,Milk,Hot,4.81,2.22,10.5
Jersey,572,4,Milk,Cold,5.72,3.16,12.32
Holstein,606,6,Milk,Cold,5.6,2.57,12.7
Sahiwal,592,8,Meat,Hot,7.34,3.47,11.94
Jersey,517,3,Meat,Hot,6.2,2.23,11.3
Gir,379,10,Milk,Moderate,4.06,1.47,8.61
Jersey,424,10,Milk,Cold,3.91,2.04,9.24
Jersey,513,8,Meat,Hot,6.45,2.7,10.5
Holstein,596,10,Meat,Moderate,7.56,3.45,13.04
Holstein,314,5,Meat,Hot,3.73,1.78,6.7
Jersey,478,5,Meat,Moderate,5.9,2.46,10.5
Red Sindhi,506,9,Meat,Hot,6.54,2.94,10.15
Holstein,285,6,Milk,Cold,2.84,1.7,6.67
Holstein,420,7,Meat,Cold,4.85,2.13,8.09
Holstein,299,4,Meat,Moderate,3.88,1.75,5.56
Holstein,416,8,Meat,Moderate,4.74,2.01,7.5
Jersey,287,9,Meat,Cold,3.31,1.66,5.64
Jersey,326,2,Meat,Moderate,3.63,1.76,6.81
Red Sindhi,255,3,Meat,Cold,3.1,1.16,5.02
Holstein,503,3,Meat,Moderate,6.03,2.72,9.5
Holstein,298,9,Meat,Cold,3.31,1.72,5.43
Holstein,323,4,Meat,Hot,4.19,1.56,7.03
Holstein,520,10,Meat,Cold,6.06,2.26,9.89
Sahiwal,454,9,Meat,Hot,5.18,2.05,9.23
Gir,356,8,Meat,Moderate,4.18,1.92,7.74
Gir,280,3,Milk,Hot,2.68,1.35,6.94
Red Sindhi,504,2,Meat,Hot,6.14,2.17,9.08
Red Sindhi,562,10,Meat,Cold,6.57,2.58,10.59
Red Sindhi,466,9,Meat,Cold,5.7,2.33,9.38
Holstein,400,10,Meat,Hot,4.48,1.86,7.89
Gir,545,5,Milk,Cold,5.68,2.43,13.22
Jersey,411,6,Milk,Cold,4.02,2.01,8.42
Holstein,490,6,Milk,Moderate,4.75,2.25,10.88
Holstein,643,8,Meat,Moderate,8.03,3.68,13.76
Holstein,628,3,Milk,Cold,6.45,3.38,12.82
Sahiwal,525,5,Milk,Cold,4.8,2.84,11.17
Holstein,605,10,Milk,Cold,6.35,3.06,13.76
Sahiwal,255,3,Milk,Cold,2.62,1.05,5.42
Gir,427,5,Meat,Hot,4.75,2.06,7.86
Jersey,266,2,Meat,Hot,2.99,1.14,5.7
Sahiwal,567,4,Meat,Moderate,6.5,2.83,12.22
Holstein,403,4,Milk,Hot,4.04,1.49,9.3
Red Sindhi,258,8,Milk,Moderate,2.5,1.25,6.05
Jersey,623,7,Milk,Moderate,6.52,2.74,13.37
Holstein,412,8,Meat,Hot,4.8,2.15,8.22
Jersey,601,10,Meat,Cold,7.71,2.9,12.63
Jersey,477,2,Milk,Cold,5.11,2.64,10.71
Holstein,626,6,Meat,Hot,7.32,3.71,12.9
Sahiwal,587,5,Milk,Moderate,5.47,2.16,12.0
Red Sindhi,403,6,Meat,Hot,4.78,2.12,8.3
Jersey,592,6,Meat,Cold,7.6,2.97,12.42
Gir,370,3,Milk,Cold,3.34,2.05,8.46
Sahiwal,381,4,Milk,Cold,3.86,1.62,8.35
Jersey,492,5,Meat,Hot,5.82,2.75,10.16
Sahiwal,431,8,Meat,Moderate,5.38,2.48,9.35
Holstein,287,10,Meat,Cold,3.58,1.53,5.86
Jersey,584,10,Meat,Moderate,7.3,2.96,11.07
Jersey,560,4,Milk,Cold,6.04,2.46,13.79
Gir,281,6,Meat,Moderate,3.26,1.24,6.01
Gir,377,8,Milk,Moderate,3.88,1.34,7.79
Gir,463,9,Milk,Cold,4.92,1.96,11.04
Jersey,318,8,Meat,Hot,4.04,1.52,6.18
Red Sindhi,290,6,Milk,Moderate,2.74,1.14,5.95
Gir,267,6,Meat,Cold,3.09,1.49,5.74
Gir,443,10,Milk,Moderate,4.26,2.02,10.07
Red Sindhi,442,4,Meat,Cold,5.26,1.96,9.21
Sahiwal,495,8,Milk,Moderate,4.74,1.85,11.24
Holstein,382,5,Milk,Hot,3.44,1.67,8.94
Jersey,344,5,Meat,Moderate,3.98,1.88,6.62
Sahiwal,317,2,Meat,Moderate,3.79,1.5,6.0
Holstein,599,2,Milk,Moderate,5.82,1.94,14.76
Sahiwal,628,4,Meat,Cold,7.96,2.57,12.53
Jersey,589,10,Meat,Hot,7.16,2.94,11.38
Jersey,336,10,Milk,Hot,3.36,1.32,6.77
Jersey,603,8,Milk,Moderate,5.55,1.94,14.18
Holstein,437,5,Meat,Hot,5.26,2.06,8.28
Jersey,606,6,Milk,Hot,5.88,2.12,12.35
Red Sindhi,291,10,Meat,Cold,3.3,1.36,5.89
Holstein,345,7,Meat,Cold,4.14,1.54,6.39
Gir,537,10,Milk,Moderate,5.13,1.67,12.82
Sahiwal,461,4,Meat,Moderate,5.73,2.36,9.79
Sahiwal,279,10,Milk,Cold,2.93,1.32,6.05
Holstein,351,9,Milk,Hot,3.66,1.6,8.28
Gir,421,7,Milk,Moderate,3.99,1.76,8.71
Red Sindhi,595,9,Milk,Hot,5.47,2.29,12.08
Gir,593,2,Milk,Cold,5.64,2.6,14.3
Red Sindhi,259,9,Meat,Cold,3.02,1.14,5.05
Jersey,640,7,Milk,Hot,6.28,1.94,15.69
Jersey,528,2,Meat,Hot,6.11,2.92,10.32
Jersey,337,2,Meat,Cold,4.22,1.99,7.1
Holstein,343,6,Meat,Cold,3.94,1.67,6.4
Gir,618,8,Milk,Cold,6.26,3.37,13.98
Jersey,350,9,Milk,Cold,3.16,1.79,7.6
Holstein,492,3,Meat,Cold,6.3,2.4,9.66
Holstein,632,7,Meat,Moderate,7.21,3.57,12.43
Red Sindhi,509,4,Milk,Cold,5.46,3.04,10.53
Jersey,645,6,Meat,Hot,8.25,3.54,11.78
Red Sindhi,359,2,Meat,Moderate,4.28,2.05,6.72
Gir,486,2,Milk,Moderate,4.43,1.5,10.26
Gir,270,8,Milk,Cold,2.85,1.19,6.31
Jersey,416,5,Milk,Hot,4.06,1.34,8.92
Jersey,453,5,Meat,Cold,5.45,2.42,8.98
Red Sindhi,502,7,Milk,Moderate,4.7,1.86,11.28
Jersey,518,9,Meat,Cold,6.73,3.07,9.34
Red Sindhi,419,7,Meat,Hot,5.41,2.08,8.38
Red Sindhi,516,8,Meat,Cold,5.73,2.21,9.65
Red Sindhi,535,9,Milk,Moderate,4.88,2.29,11.3
Red Sindhi,406,9,Milk,Moderate,4.2,1.56,8.45
Sahiwal,358,8,Milk,Cold,3.58,1.79,7.63
Gir,340,8,Milk,Moderate,3.33,1.21,6.94
Holstein,544,7,Milk,Cold,5.39,3.23,11.29
Holstein,456,7,Meat,Cold,5.16,2.62,9.96
Sahiwal,476,3,Meat,Cold,5.44,2.51,9.64
Red Sindhi,394,3,Meat,Hot,4.67,2.08,7.72
Red Sindhi,380,3,Milk,Cold,3.49,2.2,8.69
Jersey,414,7,Meat,Cold,4.9,2.22,7.73
Holstein,441,5,Meat,Moderate,5.55,2.24,8.1
Holstein,581,9,Meat,Hot,7.23,3.36,10.99
Holstein,274,5,Milk,Hot,2.78,1.24,5.96
Gir,363,5,Meat,Moderate,4.59,1.93,7.8
Red Sindhi,564,9,Meat,Moderate,6.98,3.12,12.1
Jersey,468,6,Meat,Hot,5.54,2.41,10.08
Gir,463,10,Meat,Moderate,5.83,2.71,9.97
Red Sindhi,558,2,Meat,Moderate,6.14,3.07,11.7
Sahiwal,453,9,Milk,Moderate,4.14,1.92,9.68
Holstein,484,9,Milk,Cold,5.2,2.23,10.46
Gir,644,3,Meat,Moderate,7.29,3.83,12.94
Red Sindhi,544,4,Milk,Cold,5.07,3.25,11.64
Jersey,495,5,Milk,Hot,4.75,1.85,9.9
Holstein,511,7,Milk,Moderate,5.14,1.75,12.27
Holstein,560,2,Milk,Cold,5.93,3.02,13.34
Holstein,367,9,Milk,Cold,3.56,1.65,9.0
Gir,373,7,Meat,Cold,4.67,1.61,8.16
Sahiwal,544,9,Meat,Hot,6.15,2.71,10.08
Sahiwal,577,2,Meat,Cold,7.01,2.66,10.6
Sahiwal,443,4,Meat,Hot,4.88,1.79,8.43
Gir,467,3,Meat,Moderate,6.04,2.58,9.77
Holstein,614,7,Milk,Cold,6.28,3.35,12.44
Red Sindhi,647,8,Meat,Cold,8.21,3.83,11.93
Jersey,557,6,Milk,Moderate,6.05,1.87,13.43
Gir,629,4,Meat,Hot,7.34,3.31,13.05
Sahiwal,443,9,Meat,Hot,5.66,2.21,8.36
Jersey,335,2,Milk,Moderate,3.05,1.28,7.05
Gir,634,6,Meat,Cold,7.88,3.24,11.65
Holstein,439,5,Milk,Cold,4.27,1.86,9.69
Gir,545,2,Meat,Hot,6.59,3.17,11.2
Gir,562,4,Milk,Hot,5.83,1.95,13.29
Sahiwal,439,5,Milk,Moderate,4.64,1.69,10.1
Holstein,263,6,Meat,Cold,3.03,1.56,5.66
Sahiwal,531,6,Milk,Cold,5.76,2.58,11.62
Holstein,334,2,Milk,Moderate,3.13,1.05,6.74
Red Sindhi,379,5,Milk,Cold,4.1,1.87,8.91
Red Sindhi,461,8,Meat,Hot,5.69,1.96,9.06
Red Sindhi,613,2,Milk,Cold,5.91,3.44,14.92
Sahiwal,250,2,Milk,Hot,2.39,0.78,5.4
Holstein,518,2,Meat,Moderate,6.35,2.2,10.19
Red Sindhi,632,4,Meat,Cold,7.29,2.76,11.72
Holstein,483,6,Milk,Cold,4.9,2.52,10.22
Red Sindhi,453,4,Milk,Hot,4.53,1.41,10.68
Jersey,365,7,Meat,Hot,4.74,2.15,7.7
Gir,604,6,Milk,Hot,5.47,2.86,12.58
Sahiwal,544,2,Meat,Cold,6.26,2.81,11.14
Sahiwal,281,7,Meat,Moderate,3.26,1.29,5.52
Sahiwal,550,9,Meat,Cold,6.73,2.84,11.95
Gir,319,9,Meat,Cold,3.89,1.76,5.81
Gir,397,10,Meat,Hot,4.87,2.06,8.48
Red Sindhi,608,4,Meat,Hot,6.7,3.43,12.65
Holstein,554,5,Milk,Moderate,5.56,1.98,11.48
Red Sindhi,525,3,Meat,Hot,5.97,2.63,9.6
Holstein,646,7,Milk,Hot,6.34,2.28,14.61
Gir,413,5,Milk,Hot,4.54,1.72,9.99
Gir,322,7,Milk,Hot,3.37,0.98,6.51
Gir,448,5,Milk,Cold,4.55,2.64,9.12
Sahiwal,400,2,Milk,Hot,3.64,1.68,9.12
Gir,512,3,Meat,Cold,6.6,2.35,10.18
Holstein,471,6,Meat,Moderate,5.94,2.17,8.84
Holstein,373,3,Meat,Cold,4.46,1.86,7.96
Jersey,278,10,Milk,Moderate,2.8,0.85,6.67
Holstein,570,6,Milk,Hot,6.15,2.11,12.43
Red Sindhi,426,6,Meat,Hot,5.09,2.42,8.46
Red Sindhi,361,4,Meat,Hot,4.13,2.11,7.64
Holstein,290,3,Meat,Moderate,3.31,1.66,5.48
Gir,629,7,Milk,Cold,6.69,3.57,15.16
Gir,521,5,Milk,Cold,5.31,2.67,11.54
Gir,583,2,Milk,Moderate,6.23,2.39,12.75
Holstein,574,10,Meat,Moderate,6.88,3.14,11.01
Red Sindhi,280,6,Milk,Moderate,2.84,1.16,6.53
Jersey,417,5,Meat,Moderate,5.23,2.35,8.18
Red Sindhi,365,10,Milk,Hot,4.01,1.61,8.35
Gir,364,5,Meat,Hot,4.43,1.53,6.95
Sahiwal,579,2,Meat,Cold,6.97,2.81,10.97
Holstein,534,4,Meat,Cold,5.92,2.3,10.51
Sahiwal,376,5,Milk,Hot,3.78,1.4,7.85
Gir,567,7,Meat,Hot,6.51,3.34,10.35
Holstein,500,10,Milk,Moderate,5.49,2.25,12.41
Sahiwal,301,4,Meat,Moderate,3.74,1.31,5.7
Jersey,422,9,Meat,Cold,4.73,1.76,8.93
Holstein,339,9,Meat,Moderate,3.96,1.87,7.24
Sahiwal,549,2,Milk,Moderate,5.88,1.94,12.18
Red Sindhi,540,5,Milk,Moderate,5.03,2.35,13.5
Red Sindhi,532,2,Meat,Hot,6.3,2.69,10.08
Holstein,633,7,Meat,Hot,7.13,2.57,12.49
Red Sindhi,437,8,Meat,Hot,5.5,1.95,8.45
Sahiwal,254,7,Meat,Cold,2.96,1.26,5.5
Jersey,409,4,Milk,Hot,4.41,1.25,9.35
Sahiwal,647,3,Meat,Moderate,7.98,3.86,13.27
Jersey,459,10,Milk,Moderate,4.51,2.02,11.21
Red Sindhi,389,10,Meat,Cold,4.36,1.98,7.16
Gir,383,10,Milk,Hot,4.09,1.73,7.69
Holstein,507,4,Milk,Moderate,5.26,2.52,12.16
Gir,435,5,Milk,Moderate,4.43,1.58,10.74
Red Sindhi,610,6,Meat,Hot,7.91,2.78,11.75
Gir,286,9,Milk,Hot,2.66,0.9,6.13
Gir,407,5,Meat,Moderate,4.97,1.71,7.51
Sahiwal,495,10,Meat,Cold,5.63,2.36,9.81
Gir,473,3,Meat,Hot,6.0,2.61,8.8
Holstein,577,3,Meat,Cold,7.33,3.17,11.79
Holstein,599,3,Meat,Moderate,7.58,3.03,12.54
Jersey,515,6,Meat,Cold,6.24,2.12,10.33
Holstein,450,4,Milk,Moderate,4.94,1.69,10.63
Red Sindhi,570,9,Milk,Moderate,6.15,1.86,14.08
Jersey,595,6,Meat,Cold,6.87,3.43,12.39
Red Sindhi,273,10,Milk,Hot,2.66,1.09,6.46
Holstein,600,2,Milk,Cold,5.77,2.46,14.98
Sahiwal,444,5,Milk,Moderate,4.17,1.43,10.04
Holstein,535,3,Meat,Hot,6.85,2.78,10.73
Holstein,562,6,Meat,Cold,7.08,2.69,10.91
Gir,567,5,Milk,Cold,5.98,2.62,12.59
Holstein,321,10,Milk,Hot,3.45,1.12,7.54
Red Sindhi,597,5,Milk,Moderate,6.34,2.35,14.22
Gir,425,9,Meat,Cold,5.05,2.06,8.61
Sahiwal,382,7,Milk,Cold,3.6,2.28,7.77
Red Sindhi,571,9,Milk,Cold,5.68,3.22,12.42
Sahiwal,639,4,Milk,Cold,6.93,3.41,13.96
Red Sindhi,571,8,Milk,Cold,6.25,2.87,13.86
Gir,271,5,Milk,Cold,2.68,1.56,6.18
Jersey,433,7,Meat,Moderate,4.8,2.41,8.84
Red Sindhi,377,9,Meat,Hot,4.58,1.93,7.7
Red Sindhi,358,3,Milk,Cold,3.86,1.54,7.17
Red Sindhi,310,4,Meat,Hot,3.74,1.42,6.75
Red Sindhi,551,5,Milk,Hot,5.31,1.68,11.06
Red Sindhi,435,4,Milk,Moderate,4.43,2.12,9.49
Holstein,578,2,Milk,Cold,6.18,3.42,12.09
Red Sindhi,647,3,Milk,Cold,6.34,2.86,14.93
Sahiwal,463,3,Milk,Cold,4.63,1.93,10.64
Holstein,313,8,Meat,Moderate,4.04,1.83,6.86
Red Sindhi,564,2,Milk,Cold,6.17,3.07,11.8
Gir,446,10,Milk,Cold,4.38,2.43,9.2
Red Sindhi,371,7,Meat,Hot,4.21,2.05,7.08
Red Sindhi,570,10,Milk,Moderate,5.43,2.56,11.78
Gir,414,7,Meat,Cold,5.02,2.36,7.77
Sahiwal,404,8,Milk,Cold,3.64,1.71,9.19
Sahiwal,294,2,Meat,Moderate,3.49,1.39,6.35
Red Sindhi,334,7,Meat,Cold,4.13,1.48,6.18
Jersey,359,10,Milk,Cold,3.51,1.61,7.45
Gir,465,7,Meat,Hot,5.66,2.65,9.91
Red Sindhi,284,5,Meat,Cold,3.61,1.47,6.14
Jersey,575,7,Meat,Moderate,7.09,2.93,12.39
Red Sindhi,279,4,Milk,Cold,3.01,1.56,6.92
Holstein,538,6,Milk,Cold,5.17,2.63,11.56
Gir,447,9,Meat,Moderate,5.29,2.55,9.67
Red Sindhi,274,2,Meat,Hot,3.54,1.49,5.9
Jersey,597,2,Milk,Moderate,6.55,2.51,12.94
Jersey,424,10,Milk,Hot,4.52,1.3,9.38
Gir,512,6,Milk,Moderate,4.78,2.02,10.31
Gir,443,8,Meat,Hot,5.15,2.49,9.66
Red Sindhi,645,8,Meat,Moderate,7.89,2.69,12.58
Holstein,530,10,Milk,Hot,4.96,1.61,12.21
Jersey,462,7,Meat,Moderate,5.25,2.45,10.14
Holstein,608,7,Meat,Moderate,7.37,3.51,12.79
Jersey,360,9,Milk,Moderate,3.48,1.5,7.81
Holstein,318,7,Meat,Hot,3.82,1.74,5.8
Holstein,603,8,Milk,Cold,5.93,2.83,12.91
Gir,254,9,Milk,Hot,2.76,1.24,5.82
Sahiwal,581,6,Milk,Moderate,5.38,2.36,13.87
Gir,298,8,Meat,Moderate,3.71,1.49,5.61
Jersey,339,9,Meat,Hot,3.9,1.86,6.45
Sahiwal,332,5,Meat,Moderate,3.83,1.52,6.63
Gir,265,9,Meat,Hot,3.03,1.34,5.16
Gir,305,2,Meat,Hot,3.76,1.27,5.91
Red Sindhi,366,9,Milk,Hot,3.73,1.28,7.36
Jersey,444,8,Milk,Moderate,4.77,1.36,10.32
Holstein,557,5,Milk,Cold,5.84,2.66,13.06
Sahiwal,630,4,Milk,Cold,6.44,2.64,14.37
Jersey,483,8,Milk,Hot,4.8,1.67,9.75
Jersey,641,3,Milk,Hot,6.3,2.99,13.41
Jersey,253,8,Meat,Moderate,2.99,1.05,5.43
Gir,393,7,Milk,Cold,4.22,1.76,8.82
Jersey,252,4,Meat,Hot,3.12,1.35,4.76
Red Sindhi,445,5,Milk,Moderate,4.69,1.44,9.5
Gir,507,7,Milk,Hot,5.44,2.02,12.26
Gir,277,5,Milk,Hot,2.65,1.08,6.46
Sahiwal,625,7,Meat,Hot,7.94,3.36,12.8
Jersey,326,4,Meat,Hot,3.77,1.34,6.39
Jersey,378,10,Milk,Moderate,3.86,1.56,8.33
Jersey,638,3,Milk,Cold,6.41,3.51,14.23
Red Sindhi,433,5,Meat,Hot,5.54,2.0,9.2
Red Sindhi,314,3,Meat,Hot,3.48,1.33,6.86
Gir,422,4,Milk,Cold,4.05,1.69,10.53
Gir,629,8,Meat,Cold,8.06,3.59,12.17
Jersey,324,2,Meat,Hot,3.94,1.69,6.16
Sahiwal,403,8,Meat,Cold,4.48,1.84,7.4
Red Sindhi,502,6,Milk,Moderate,4.74,2.33,11.65
Holstein,390,6,Milk,Cold,3.52,1.72,9.4
Jersey,493,2,Milk,Hot,4.73,1.89,11.72
Jersey,537,5,Milk,Hot,4.9,2.46,12.04
Gir,442,4,Milk,Cold,4.42,1.87,10.19
Gir,579,2,Milk,Moderate,5.85,2.63,14.24
Holstein,633,10,Meat,Cold,7.96,2.56,12.17
Jersey,303,4,Milk,Hot,2.74,1.47,7.18
Red Sindhi,259,6,Milk,Hot,2.55,1.07,5.19
Holstein,272,3,Milk,Hot,2.65,1.34,5.76
Sahiwal,519,6,Milk,Moderate,5.6,2.3,10.62
Jersey,339,9,Milk,Hot,3.11,1.38,8.13
Holstein,290,2,Meat,Hot,3.6,1.41,6.13
Jersey,252,6,Milk,Cold,2.33,1.1,5.39
Sahiwal,623,7,Meat,Moderate,7.61,2.83,12.2
Jersey,615,4,Meat,Hot,7.74,2.93,12.82
Jersey,485,10,Milk,Moderate,4.46,1.87,11.93
Holstein,529,9,Meat,Moderate,6.12,3.05,11.07
Gir,331,4,Milk,Moderate,3.51,1.45,6.78
Jersey,405,6,Meat,Cold,5.25,2.2,8.08
Jersey,561,3,Meat,Hot,6.9,2.85,11.31
Red Sindhi,586,7,Milk,Cold,5.47,3.08,14.01
Red Sindhi,342,4,Milk,Hot,3.3,1.08,7.38
Holstein,584,9,Meat,Cold,7.2,3.46,12.17
Holstein,604,10,Milk,Cold,5.47,3.5,13.04
Gir,445,8,Meat,Moderate,5.18,2.14,8.82
Holstein,287,9,Milk,Cold,3.03,1.65,6.46
Jersey,486,7,Meat,Cold,6.06,2.64,10.26
Jersey,419,10,Meat,Hot,4.95,2.19,7.73
Red Sindhi,267,2,Milk,Hot,2.57,1.26,5.96
Holstein,392,2,Milk,Hot,3.73,1.81,8.17
Holstein,632,2,Meat,Hot,7.52,3.34,11.67
Red Sindhi,306,9,Meat,Cold,3.45,1.33,6.66
Sahiwal,536,8,Milk,Moderate,4.9,1.78,11.03
Sahiwal,579,5,Meat,Moderate,7.46,2.81,11.52
Holstein,622,4,Meat,Hot,6.86,2.89,12.73
Jersey,277,4,Milk,Moderate,2.97,0.86,5.88
Red Sindhi,632,8,Meat,Cold,7.75,3.72,12.62
Gir,386,4,Meat,Hot,4.37,1.96,7.43
Jersey,555,10,Milk,Cold,5.73,2.83,12.52
Gir,620,2,Milk,Moderate,6.42,3.1,15.25
Sahiwal,556,3,Milk,Moderate,5.82,2.26,13.53
Holstein,565,10,Milk,Moderate,5.72,2.25,13.8
Red Sindhi,578,3,Meat,Moderate,7.02,3.29,12.2
Red Sindhi,319,6,Meat,Hot,3.74,1.55,6.14
Gir,409,10,Milk,Hot,4.1,1.43,10.21
Sahiwal,642,9,Meat,Cold,8.27,2.93,13.76
Gir,556,2,Meat,Cold,7.13,2.88,12.14
Gir,476,9,Milk,Cold,4.69,1.98,9.95
Holstein,458,10,Milk,Moderate,4.84,1.94,10.97
Sahiwal,598,8,Milk,Moderate,5.56,2.28,14.47
Red Sindhi,516,7,Milk,Moderate,4.69,1.97,11.91
Holstein,465,8,Meat,Hot,5.97,2.02,8.61
Gir,293,8,Milk,Moderate,2.92,1.09,7.25
Holstein,326,10,Milk,Hot,3.42,1.49,7.61
Jersey,580,2,Meat,Hot,7.4,2.48,11.91
Sahiwal,354,8,Milk,Moderate,3.62,1.6,7.61
Sahiwal,535,10,Milk,Moderate,5.12,1.76,12.34
Holstein,512,9,Meat,Moderate,6.01,2.59,10.22
Red Sindhi,620,4,Milk,Moderate,5.96,2.15,13.09
Sahiwal,571,10,Meat,Moderate,7.04,2.56,11.03
Jersey,493,9,Meat,Cold,5.91,2.66,9.45
Red Sindhi,258,10,Milk,Cold,2.75,1.47,6.44
Gir,384,3,Milk,Moderate,4.06,1.65,8.29
Red Sindhi,486,10,Milk,Hot,5.09,1.97,10.04
Sahiwal,561,3,Milk,Cold,5.42,2.99,13.97
Holstein,443,2,Milk,Hot,4.41,1.42,10.7
Jersey,427,5,Meat,Cold,5.09,2.49,8.31
Red Sindhi,376,2,Milk,Moderate,3.67,1.62,8.12
Gir,620,9,Milk,Moderate,6.03,2.01,13.05
Jersey,528,6,Milk,Cold,5.75,2.33,11.06
Holstein,260,5,Milk,Cold,2.56,1.51,6.48
Jersey,430,8,Meat,Moderate,5.11,1.98,8.02
Jersey,356,9,Meat,Hot,4.24,2.0,7.6
Holstein,386,8,Meat,Cold,4.86,2.13,7.13
Holstein,582,4,Milk,Moderate,6.21,2.74,13.91
Red Sindhi,636,4,Meat,Hot,7.2,3.17,12.52
Jersey,322,7,Milk,Cold,2.92,1.41,7.6
Gir,421,5,Meat,Cold,5.31,1.84,8.71
Gir,602,7,Milk,Cold,5.61,3.06,13.25
Sahiwal,476,4,Milk,Moderate,4.78,1.82,10.5
Jersey,251,5,Milk,Cold,2.38,1.09,5.63
Red Sindhi,407,4,Meat,Moderate,4.85,2.36,8.91
Holstein,250,10,Milk,Cold,2.29,1.13,5.96
Gir,305,5,Meat,Cold,3.91,1.27,6.61
Sahiwal,606,8,Milk,Moderate,5.71,2.19,13.6
Red Sindhi,333,3,Meat,Cold,4.11,1.38,6.11
Holstein,540,9,Meat,Moderate,6.08,2.73,11.0
